url,isAlive
humanshade.com,false
hex.pm,true
teaminsightextra.com,true
nikefreeruns.uk,false
fictionfun.net,false
speedrun.com,true
copyrevo.jp,false
paintsprayer.co.uk,true
tamaliver.jp,true
investireoggi.it,true
kaitekichan.com,true
osho-fragrance.com,true
alaskahollyhouse.com,false
dcps.k12.va.us,false
diabetika.hu,true
atvrom-ploiesti.ro,true
randobel.be,true
lesbellesannees.com,false
loveartlab.me,true
atc-network.com,true
fitpromag.com,false
sportsperformancepark.com,true
nsyard.shop,false
link-kobo.com,false
blastcoding.com,true
iidasangyo.co.jp,true
arabianaerospace.aero,true
dekapolice.gr,false
globoport.hu,false
satranc.biz,false
trangvangmuaban.com,false
ochrehealth.com.au,true
yushu.co.jp,false
oom2.com,true
magdastawska.pl,false
zkoss.org,false
eyny.com,true
hamaseimaru.net,false
dailyworld.com,true
mai-bun.com,true
gdd.de,true
itpc-media.net,true
olive-hitomawashi.com,true
freeq-life.com,true
airteamimages.com,true
mattmumfordgolf.com,true
bikeworldusa.com,true
le-pays.fr,true
vashsad.ua,false
rspca.org.au,true
kentwood.us,true
doz.pl,true
onedigitaluk.com,true
edmarq.cz,true
paijannepurjehdus.fi,true
icanparty.ca,false
tbm.org.tr,false
wearethefrontier.com,true
kaihuuinternet.work,false
snagging.org,true
zipangguide.com,false
schwab.de,true
makeupkawaii.site,false
civfanatics.com,true
kargohaber.com,true
dobrevesti.rs,true
entametopics.com,false
drawing.jp,false
hearingcoach.com,false
marcopolopublications.com,false
superdete.com,true
data.govt.nz,true
swissbib.ch,true
xn--max-rj4bjgb5d00a1a1fbcb.com,true
lawson-arbeit.net,false
meioemensagem.com.br,true
allsaintsmargaretstreet.org.uk,true
unatia.net,true
dortmundecho.org,true
horseriding.cz,true
worcesternews.co.uk,true
coopdye.com,true
keepwolvesprotected.com,false
246g.com,true
ccgi-research.com,true
urban-navi.info,false
ferienhaus-canarias.net,true
oncotrends.de,false
0xfeedface.org,false
revistahabitat.com,false
motorsport-magazin.com,true
ivany.org,false
maxi-design.jp,true
mass.edu,false
testfreaks.es,false
institut-francais.lv,false
westerntelegraph.co.uk,true
xn--w8jta3u6aza3gvc0qwbh84891a.com,false
macrovoices.com,true
lovexposedphotography.com,true
tourismauthority.go.ke,true
dokry.com,true
listrikindonesia.com,false
planetside-universe.com,true
ostrovets.gov.by,true
markthatsold.ca,false
buniffuciy.ru,true
girlsnews.tv,true
mobileways.de,false
hawaii.gov,true
calciopress.net,false
fiocruz.br,true
themissouritimes.com,true
sitemasters.be,true
info--review.com,true
havet.nu,true
gtamp.com,true
kotonohanoana.com,true
fixmystreet.com,true
netrunnerdb.com,true
kuforum.co.uk,false
esut.de,true
bach51.com,false
omropfryslan.nl,true
laughterthroughtearsblog.com,true
talentorest.com,true
nakaken88.com,true
enmtools.blogspot.com,true
shinrabanshow.com,true
rizkymirgawati.com,false
cnpq.br,false
gridsome-starter-bleda.netlify.com,true
aikido-crimmitschau.org,true
noblogs.org,true
strangelove-records.com,false
money1.jp,true
10nengo.com,true
pikaichi.info,false
newpittsburghcourier.com,true
maxmasters.com.ar,true
bowls.com.au,true
userecho.com,true
tradearabia.com,false
educpros.fr,false
wotblitz.com,true
ccusa.com.au,true
tfcufinancialadvisors.org,true
elparaguasgt.com,true
grupvivo.es,false
homedizainer.ru,false
qualitel.org,true
ixtheo.de,true
ch-sakura.jp,false
thestate.com,true
crw-hoshizora.net,true
panacee.jp,true
christkindlmarkt.cc,false
unilang.org,true
yu-gi-oh.xyz,true
carolgancia.com,true
hypnotherapy-directory.org.uk,true
lotie.com,false
artemidanews.gr,true
legastronomesexy.com,true
notforprint.co,true
fast-rewind.com,false
crobroblog.com,true
vrnetwork.org,true
akitafes.com,true
ceconn.com,true
sirabee.com,true
nyaa.si,true
2ndchanceuk.org,true
fukubukurolove.info,false
hanaza.jp,true
indiapost.com,true
sheriffmarshallcounty.org,true
tv3.lt,true
animepress.net,true
toplien.fr,true
ural-sb.ru,true
news-press.com,true
ccmm.ca,true
lilallstars.org,false
azadliq.az,true
sukkaperpdee.jp,true
bethlehemfairtrade.org,true
momtastic.com,true
chantierecole.org,false
halesowennews.co.uk,true
iesob.org.tr,true
cambrils.cat,false
numberplace.org,false
pokupkiudachno.ru,true
messerforum.net,true
blogzimbalam.it,false
marineengine.com,true
chris-hemsworth.net,true
misapellidos.com,true
3dfxzone.it,false
newsleader.com,true
hillsdale.net,true
cibubur.com,false
gustos.ro,true
nbcnews.com,false
grepolis.com,true
uniqure.jp,true
hummerclubrus.ru,true
lmfdb.org,true
ukri.org,true
sense-pro.org,false
myhomeurukothu.net,true
livepocket.jp,true
opendataportal.at,true
historivia.com,true
eqe.ge,true
kentucky.com,true
ird.govt.nz,true
officialblog.jp,false
rspba.org,true
mercedsunstar.com,true
airily.jp,true
hanadmade-bejewel.com,true
verdeweb.jp,true
mercedesgla.com,true
jktec.com,true
reutersagency.com,false
kijkfilmsonline.nl,false
fronteradigital.com.ve,true
j-proud.com,true
cstarleague.com,true
recruitingblogs.com,true
gizmodo.com.au,true
piapro.jp,true
letsgodogging.com,true
chemteacher.org,true
oronain1919.com,false
groupecsgl.com,false
iraqdailyjournal.com,true
net-maquettes.com,true
st-hitorigoto.com,false
water-server.biz,true
llvm.org,true
nocutnews.co.kr,true
herrondh.com,false
photoshopworld.ru,false
hentaigay.com.br,true
todayenergy.kr,true
pcgamer.com,true
bunshun.jp,true
rctcyellowjackets.com,false
yarikuri-turbo.com,true
islington.gov.uk,true
decanterchina.com,false
udn.vn,false
fullforce-pro.com,false
uncannyxmen.net,true
op-online.de,true
insidemacgames.com,false
niooz.fr,true
892copy.jp,true
controlbooth.com,true
bienesonline.com.ar,true
elta90mr.ro,true
grapeseedbistro.com,true
medplusstaffing.cc,true
lhv.nl,true
martinschools.org,false
de-saint-roman.fr,false
klikpositif.com,false
getnavi.jp,true
good-charism.com,true
orfeaslefkada.gr,false
redbanned.com,true
ville-dugny.fr,true
californiaglobe.com,true
jewishencyclopedia.com,false
read7deadlysins.com,true
hagi.life,true
shbp.ru,false
ndl.go.jp,true
ekypros-news.com.cy,true
thamilnattu.com,false
scoutsengidsenloonbeek.be,true
dashnetwork.info,false
thrive-nutrition.co.uk,false
allabout.co.jp,true
bulbagarden.net,true
compare-school-performance.service.gov.uk,true
billboard-japan.com,true
reuters.tv,true
northeastshooters.com,true
diccionarios.com,true
userbars.be,true
brushlovers.com,false
dearmerebeth.com,false
autoelectricsupplies.co.uk,true
ko-gubako.com,true
botamochi8.com,true
marciastrykowski.com,true
museodeldibujo.com,false
komatsu162.com,true
oneplusone-group.jp,true
time-piece.net,false
treees.org,true
mortezamotahari.com,false
monhaco.com,true
elbaixllobregat.cat,false
yossense.com,true
nyspha.org,true
daridaridari.com,false
mypl.jp,true
burytimes.co.uk,true
warfield.ro,false
ticoracer.net,false
offshoreonly.com,true
turismoytecnologia.com,true
dengekionline.com,true
dorogomilovo.info,false
toyota-retailers.co.uk,false
120w.nl,true
drupalcoin.io,false
drevohracky.cz,true
stilmedia.ro,false
sdbg.github.io,true
patagoniaprovisions.com,true
office-plus.jp,false
apnea.co.il,true
huncyclopedia.com,true
mir-svadba.ru,false
andorejr.com,true
ytranking.net,true
2cqr.co.in,false
epsnews.com,false
asperansa.org,true
wimsradio.com,true
weborama.fr,true
wiadomosci.com,true
tarohiro.com,false
tekito-ru.com,true
bokunoseikatsu.com,true
suchelove.de,false
harptabs.com,true
vikrutka.kiev.ua,true
trending-uk.com,true
blouinnews.com,false
stsilasprimary.co.uk,true
bensonsforbeds.co.uk,true
zowe.org,true
bgezik.info,true
sunshine-hall.com,true
rincondelvago.com,true
panpilog.com,true
vortis.jp,true
threadsofgold.info,false
fc-taka.net,true
caesartour.it,true
yhager.com,true
s-oman.net,false
plateabaja.com,false
fireflylectures.com,false
profesionaleshoy.es,true
medakaholidays.com,true
chiapas.eu,true
oyakutachi-jouhou.com,true
kensetsunewspickup.blogspot.com,true
oldpalaceguesthouse.co.uk,true
actionimages.com,false
myturknet.com,true
dinartube.com,true
theoldfellowgoesrunning.com,true
badr.cc,true
virus2removal.com,false
maky-jyuku.com,false
piscinas.com,true
freiberg.com.ar,false
yu-kinosirusi.com,true
tchncs.de,true
iwais.org,true
atom.io,true
seibo-archive.com,true
ctpodcasting.com,true
puzzle-ya.com,false
rob-blokzijl-foundation.org,true
battlehouse.com,true
inventorpro.com,false
damda.uz,true
carcinisation.com,true
getthechance.wales,true
aki-to-hiro.tokyo,true
expub.net,false
yamashiroya.biz,true
styxit.com,true
raintoy.com,true
hikakujoho.com,true
fp-kissa.com,true
illustplaza.com,true
druzya.com,false
xn--gmqzf20aqf36clpj924a3law4sy7s.xyz,false
paulissakippisms.com,false
sanctionsalert.com,true
svsd410.org,false
212areacode.com,false
tigernet.com,true
whyweprotest.net,true
osrsadvice.com,true
the-big-bang-theory.com,true
denns-biomarkt.de,true
city-moda.cz,true
advancedphotoshop.co.uk,true
ocdsb.ca,true
pocoapocokyoto.com,true
mit-license.org,false
suamaytinhhaiphong.com,true
xn--pckhn6qwa9bw091b5jnuo4dopq.biz,false
nolo.com,true
opensource.guide,true
rcvskblog.org,false
groovinmoms.com,true
brandweekmoy.com,false
find-job.net,true
the-writers-block.net,true
bittersweet-now.net,true
mishacomposer.com,false
tourisme93.com,true
vitaminov.net,true
boot-loader.com,true
hadairopink.com,true
trimbos.nl,true
sugabre.com,false
freeorion.org,true
leava.fr,false
civilwartalk.com,true
foksuk.nl,false
hdqyf.club,true
wdwforgrownups.com,true
providence-color.xyz,true
puromarketing.com,true
insideocb.com,true
radiopiekary.pl,true
sophiality.net,true
cdcnet.net,true
sched.com,false
africaguinee.com,true
allotmentnotes.com,true
technicien-aeronautique.com,true
supput-diet.xyz,false
plus-report.net,true
dwp.gov.uk,false
supergewinne.de,true
5seconds.fr,false
3fatchicks.com,true
huntingnet.com,true
providenceschools.org,false
mets-art.com,false
vidi.hr,true
kredigundemi.com,true
ipe.com,true
krateng.ch,false
frizieris.lv,true
thegreyhoundrecorder.com.au,true
musicbrainz.org,true
europeche.fr,true
hexagonppm.com,true
plutonlogistics.com,true
coloringcrew.com,true
agencedevillennes.com,false
academiapress.be,true
hmcpl.org,true
ehonnavi.net,false
pojdnavino.cz,true
pdv.com.hr,true
marvelley.com,false
the-timely.com,false
seanmgallagher.com,true
askindustrynews.com,true
visite.org,false
corbett.k12.or.us,true
ni.com,true
